Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
Heart size and mediastinal contour within normal limits,,1.0,0.0,,,,,,,,,,,
" No focal airspace consolidation, pneumothorax, or large pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 No acute osseous abnormality,1.0,,,,,,,,,,,,,
2 images,1.0,,,,,,,,,,,,,
 Heart size and pulmonary vascular engorgement appear within limits of normal,1.0,,0.0,,,,,,,,,,,
 Mediastinal contour is unremarkable,1.0,0.0,,,,,,,,,,,,
" No focal consolidation, pleural effusion, or pneumothorax identified",1.0,,,,,,0.0,,,0.0,0.0,,,
 No convincing acute bony findings,1.0,,,,,,,,,,,,,
"No airspace disease, effusion or noncalcified nodule",1.0,,,,0.0,,,,,,0.0,,,
 Normal heart size and mediastinum,1.0,0.0,0.0,,,,,,,,,,,
 Left axillary surgical clips unchanged Visualized XXXX of the chest XXXX are within normal limits,1.0,,,,,,,,,,,,,
"No airspace disease, effusion or noncalcified nodule",1.0,,,,0.0,,,,,,0.0,,,
 Normal heart size and mediastinum,1.0,0.0,0.0,,,,,,,,,,,
 Left axillary surgical clips unchanged Visualized XXXX of the chest XXXX are within normal limits,1.0,,,,,,,,,,,,,
There are low lung volumes with bronchovascular crowding as a result,1.0,,,,,,,,,,,,,
" No pleural effusion, pneumothorax or focal airspace disease",1.0,,,,0.0,,,,,0.0,0.0,,,
 Cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
 No free subdiaphragmatic air,1.0,,,,,,,,,,,,,
There are scattered calcified granulomas,,,,,,,,,,,,,,
 No focal infiltrate,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 Heart size and mediastinal contour are within normal limits,1.0,0.0,0.0,,,,,,,,,,,
 There are degenerative changes of the spine,,,,,,,,,,,,,,
Heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
 No focal airspace consolidations,1.0,,,,,,0.0,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
"No focal airspace disease, pleural effusion or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 Cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
 No free subdiaphragmatic air,1.0,,,,,,,,,,,,,
Heart is mildly heart enlarged,1.0,,,,,,,,,,,,,
 Mediastinal contour normal,1.0,0.0,,,,,,,,,,,,
 There is mild diffuse interstitial prominence suggestive of edema,,,,,,1.0,,,,,,,,
 No focal airspace consolidation or pleural effusion,1.0,,,,,,0.0,,,,0.0,,,
 Degenerative changes of the the spine,,,,,,,,,,,,,,
The heart size and mediastinal silhouette are within normal limits for contour,,1.0,1.0,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 No pneumothorax or pleural effusions,1.0,,,,,,,,,0.0,0.0,,,
 The XXXX are intact,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 There is no focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 Heart size and mediastinal contour are within normal limits,1.0,0.0,0.0,,,,,,,,,,,
 There are degenerative changes of the spine,,,,,,,,,,,,,,
Minimal right-to-left cardiomediastinal shift,1.0,,,,,,,,,,,,,
 The cardiomediastinal silhouette is otherwise normal size and configuration,1.0,0.0,,,,,,,,,,,,
 Pulmonary vasculature within normal limits,1.0,,,,,,,,,,,,,
 There is a moderate sized right pneumothorax,,,,,,,,,,1.0,,,,
 This measures 3,1.0,,,,,,,,,,,,,
2 cm at the level the right apex,1.0,,,,,,,,,,,,,
Minimal right-to-left cardiomediastinal shift,1.0,,,,,,,,,,,,,
 The cardiomediastinal silhouette is otherwise normal size and configuration,1.0,0.0,,,,,,,,,,,,
 Pulmonary vasculature within normal limits,1.0,,,,,,,,,,,,,
 There is a moderate sized right pneumothorax,,,,,,,,,,1.0,,,,
 This measures 3,1.0,,,,,,,,,,,,,
2 cm at the level the right apex,1.0,,,,,,,,,,,,,
"Lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Negative for pneumoperitoneum,1.0,,,,,,,,,,,,,
 Mild degenerative changes of the thoracic spine,,,,,,,,,,,,,,
"Heart size, mediastinal contour, and pulmonary vascularity are similar to comparison exam and within normal limits",,1.0,1.0,,,,,,,,,,,
" No focal consolidation, suspicious pulmonary opacity, pleural effusion, or pneumothorax",1.0,,,,0.0,,0.0,,,0.0,0.0,,,
 The visualized osseous structures appear intact,1.0,,,,,,,,,,,,,
There is a single calcified granuloma in the right lung base,,,,,,,,,,,,,,
 The lungs are otherwise grossly clear bilaterally,1.0,,,,,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Cardiac and mediastinal silhouettes are normal,1.0,0.0,,,,,,,,,,,,
 There are cholecystectomy clips in the right upper quadrant of the abdomen,1.0,,,,,,,,,,,,,
 Small T-spine osteophytes are noted,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 The heart and pulmonary XXXX are normal,1.0,,0.0,,,,,,,,,,,
 The pleural spaces are clear,1.0,,,,,,,,,,,,,
 The mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
The cardiac contours are normal,1.0,0.0,0.0,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Thoracic spondylosis,1.0,,,,,,,,,,,,,
Frontal and lateral views of the chest show an unchanged cardiomediastinal silhouette,,-1.0,,,,,,,,,,,,
 Reduced lung volumes with basilar atelectasis,,,,,,,,,1.0,,,,,
 No XXXX focal airspace consolidation or pleural effusion,1.0,,,,,,0.0,,,,0.0,,,
Normal heart and mediastinum,1.0,0.0,,,,,,,,,,,,
 Clear lungs,1.0,,,,,,,,,,,,,
 Trachea is midline,1.0,,,,,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 No pleural effusion,1.0,,,,,,,,,,0.0,,,
 Radiopaque foreign body overlying left chest,,,,,,,,,,,,,,
Both lungs are clear and expanded,1.0,,,,,,,,,,,,,
 Heart and mediastinum normal,1.0,0.0,,,,,,,,,,,,
The heart is again mildly enlarged,,,1.0,,,,,,,,,,,
 Mediastinal contours are stable,,-1.0,,,,,,,,,,,,
 Patient is somewhat rotated,1.0,,,,,,,,,,,,,
 The lungs are hypoinflated with elevated left hemidiaphragm,1.0,,,,,,,,,,,,,
 XXXX XXXX opacities compatible with atelectasis,,,,,1.0,,,,1.0,,,,,
 No large effusion is seen,1.0,,,,,,,,,,0.0,,,
 There is no focal consolidation,1.0,,,,,,0.0,,,,,,,
 Pulmonary vascularity is mildly accentuated,1.0,,,,,,,,,,,,,
 There are bilateral degenerative changes of the XXXX with probable chronic dislocation of the left humerus,,,,,,,,,,,,,,
 Correlate clinically,1.0,,,,,,,,,,,,,
Normal heart size,1.0,,0.0,,,,,,,,,,,
" Clear, hyperaerated lungs",1.0,,,,,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 No pleural effusion,1.0,,,,,,,,,,0.0,,,
 XXXX substernal density may be related to a pectus deformity,,,,,,,,,,,,,,
The lungs are clear without evidence of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 There is no evidence of pneumothorax or large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 The cardiac contour is within normal limits,1.0,0.0,0.0,,,,,,,,,,,
" Compared to prior exam, there is XXXX prominence of the mediastinal contour near the right hilum",,1.0,,,,,,,,,,,,
 This may represent the ascending aorta or mediastinal lymphadenopathy,1.0,,,,,,,,,,,,,
 CT chest with contrast may be helpful for further evaluation,1.0,,,,,,,,,,,,,
 There are mild degenerative changes of the thoracic spine,,,,,,,,,,,,,,
"There are minimal XXXX left basilar opacities, XXXX subsegmental atelectasis or scarring",,,,,1.0,,,,-1.0,,,,,
 There is no focal airspace consolidation to suggest pneumonia,1.0,,,,,,0.0,0.0,,,,,,
 No pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 Heart size is at the upper limits of normal,1.0,,0.0,,,,,,,,,,,
 Cardiac defibrillator XXXX overlies the right ventricle,,,,,,,,,,,,,,1.0
 The XXXX appears intact,1.0,,,,,,,,,,,,,
 There is aortic atherosclerotic vascular calcification,,,,,,,,,,,,,,
 Calcified mediastinal and hilar lymph XXXX are consistent with prior granulomatous disease,,,,,,,,,,,,,,
 Multiple calcified splenic granulomas are also noted,,,,,,,,,,,,,,
 There are minimal degenerative changes of the spine,,,,,,,,,,,,,,
Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
 Stable position of left subclavian central venous catheter,1.0,,,,,,,,,,,,,1.0
 No focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 Mild blunting of the costophrenic XXXX bilaterally,,,,,,,,,,,,,,
Heart size and mediastinal contour are normal,1.0,0.0,0.0,,,,,,,,,,,
 Pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" Specifically, no evidence of focal consolidation, pneumothorax, or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardio mediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
 Visualized osseous structures of the thorax are without acute abnormality,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is Within normal limits the lungs are hypoinflated,1.0,0.0,,,,,,,,,,,,
 There is mild increase in perihilar markings XXXX related to patient's history bronchitis,,,,,,,,,,,,,,
 No acute infiltrate or pleural effusion are seen,1.0,,,,0.0,,,,,,0.0,,,
Cardiac and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
Cardiac and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
Previous lower spine cervical fusion,1.0,,,,,,,,,,,,,
 Lungs are overall hyperexpanded with flattening of the diaphragms consistent with obstructive lung disease,1.0,,,,,,,,,,,,,
 Lungs are clear without focal consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
 Degenerative changes in the spine,,,,,,,,,,,,,,
The heart and mediastinum are unremarkable,1.0,0.0,0.0,,,,,,,,,,,
 There are two subcentimeter hyperdense nodular opacities are noted within the right lung,,,,1.0,1.0,,,,,,,,,
" These may represent XXXX on end or alternatively, calcified granulomas",,,,,,,,,,,,,,
 The lungs are clear without infiltrate,1.0,,,,0.0,,,,,,,,,
 There is no effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
The heart size and mediastinal silhouette are within normal limits,1.0,0.0,0.0,,,,,,,,,,,
 No pneumothorax or pleural effusions,1.0,,,,,,,,,0.0,0.0,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 No focal consolidations,1.0,,,,,,0.0,,,,,,,
 The osseous structures are intact,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 There is hyperinflation of the lungs,,,,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The heart and mediastinum are normal,1.0,0.0,0.0,,,,,,,,,,,
 The skeletal structures are normal,1.0,,,,,,,,,,,,,
Stable postsurgical changes,1.0,,,,,,,,,,,,,
" Heart XXXX, mediastinum and lung XXXX are unremarkable",,1.0,,,,,,,,,,,,
 Stable calcified small granuloma in left base,,,,,,,,,,,,,,
Stable postsurgical changes,1.0,,,,,,,,,,,,,
" Heart XXXX, mediastinum and lung XXXX are unremarkable",,1.0,,,,,,,,,,,,
 Stable calcified small granuloma in left base,,,,,,,,,,,,,,
The heart is normal in size and contour,1.0,0.0,0.0,,,,,,,,,,,
 There is focal airspace disease in the right middle lobe,,,,,1.0,,,,,,,,,
 There is no pneumothorax or effusion,1.0,,,,,,,,,0.0,0.0,,,
Frontal and lateral views of the chest show normal size and configuration of the cardiac silhouette,1.0,,0.0,,,,,,,,,,,
" Normal mediastinal contour, pulmonary XXXX and vasculature, central airways and lung volumes",1.0,0.0,,,,,,,,,,,,
 No pleural effusion,1.0,,,,,,,,,,0.0,,,
"Low lung volumes bilaterally with central bronchovascular crowding without focal consolidation, pleural effusion, or pneumothoraces",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
 Degenerative changes of the thoracic spine,,,,,,,,,,,,,,
Heart size and vascularity normal,,,1.0,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No effusions,1.0,,,,,,,,,,0.0,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 Visualized osseous structures unremarkable,1.0,,,,,,,,,,,,,
Heart size and vascularity normal,,,1.0,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No effusions,1.0,,,,,,,,,,0.0,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 Visualized osseous structures unremarkable,1.0,,,,,,,,,,,,,
Mild cardiomegaly,,,1.0,,,,,,,,,,,
 Tortuous aorta,1.0,,,,,,,,,,,,,
 No focal infiltrate,1.0,,,,0.0,,,,,,,,,
 No pneumothorax or large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Soft tissue density identified in the medial right apex which is asymmetric compared to left,,,,,,,,,,,,,,
Mild cardiomegaly,,,1.0,,,,,,,,,,,
 Tortuous aorta,1.0,,,,,,,,,,,,,
 No focal infiltrate,1.0,,,,0.0,,,,,,,,,
 No pneumothorax or large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Soft tissue density identified in the medial right apex which is asymmetric compared to left,,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is stable,,-1.0,,,,,,,,,,,,
 XXXX sternotomy changes are again noted,1.0,,,,,,,,,,,,,
 The lungs are clear of focal infiltrates,1.0,,,,0.0,,,,,,,,,
 There is no pleural effusion,1.0,,,,,,,,,,0.0,,,
Vague increased opacity which appears to be within the left lower lobe,,,,,1.0,,,,,,,,,
 Question of this could be developing or resolving pneumonia,,,,,,,,-1.0,,,,,,
 Lungs are otherwise clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 heart and mediastinum are stable normal size heart,1.0,0.0,,,,,,,,,,,,
 Atherosclerotic vascular disease,,,,,,,,,,,,,,
 Degenerative changes in the thoracic spine,,,,,,,,,,,,,,
Heart size and mediastinal contour within normal limits,,1.0,0.0,,,,,,,,,,,
 Calcified granuloma in the left lung base,,,,,,,,,,,,,,
" No focal airspace consolidation, pneumothorax, or large pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 No acute osseous abnormality,1.0,,,,,,,,,,,,,
Sequelae of old granulomatous disease,,,,,,,,,,,,,,
 Lungs are overall hyperexpanded with flattening of the diaphragms,1.0,,,,,,,,,,,,,
 No focal consolidation,1.0,,,,,,0.0,,,,,,,
 Prominent interstitial markings are again noted which are predominantly lower lobe and peripheral suggesting pulmonary fibrosis,,,,,1.0,,,,,,,1.0,,
 This appearance is overall not significantly XXXX,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 heart and mediastinum are stable with atherosclerotic vascular disease,,-1.0,,,,,,,,,,,,
 Degenerative changes in the thoracic spine,,,,,,,,,,,,,,
The cardiomediastinal silhouette is within normal limits for size and contour,1.0,0.0,,,,,,,,,,,,
" The lungs are normally inflated without evidence of focal airspace disease, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 Osseous structures are within normal limits for patient age,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 Heart size is normal,1.0,,0.0,,,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 There is a left chest XXXX with tip projecting over the lower SVC,1.0,,,,,,,,,,,,,
 There is XXXX deformity within the midthoracic spine,,,,,,,,,,,,,,
There is a calcified granuloma in the right midlung zone,,,,,,,,,,,,,,
 Lungs are otherwise clear,1.0,,,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The heart and mediastinum are normal,1.0,0.0,0.0,,,,,,,,,,,
 The skeletal structures are normal,1.0,,,,,,,,,,,,,
 Surgical clips are present in the right upper quadrant,1.0,,,,,,,,,,,,,
The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" Specifically, no evidence of focal consolidation, pneumothorax, or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardiomediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
 Tortuosity of the thoracic aorta,1.0,,,,,,,,,,,,,
 Visualized osseous structures of the thorax are without acute abnormality,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
Calcified granulomata are present in the right middle lobe and right upper lobe,,,,,,,,,,,,,,
 These are unchanged since the previous examination,1.0,,,,,,,,,,,,,
 Both lungs are free of active infiltrates,1.0,,,,0.0,,,,,,,,,
 Heart size normal,1.0,,0.0,,,,,,,,,,,
"The lungs are grossly clear without focal pneumonic consolidation, large effusion or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
Heart size normal,1.0,,0.0,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 XXXX are normal,1.0,,,,,,,,,,,,,
" No pneumonia, effusions, edema, pneumothorax, adenopathy, nodules or masses",,,,-1.0,,-1.0,,0.0,,-1.0,-1.0,,,
Heart size normal,1.0,,0.0,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 XXXX are normal,1.0,,,,,,,,,,,,,
" No pneumonia, effusions, edema, pneumothorax, adenopathy, nodules or masses",,,,-1.0,,-1.0,,0.0,,-1.0,-1.0,,,
Cardiac and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
The cardiac silhouette is mildly enlarged,,,1.0,,,,,,,,,,,
" A lobulated opacity is identified superior to the heart, in the anterior mediastinum on the lateral view, possibly consistent with a tortuous/ectatic thoracic aorta versus an anterior mediastinal mass",,1.0,1.0,-1.0,1.0,,,,,,,,,
 The thoracic aorta is tortuous and calcified,,,,,,,,,,,,,,
 No focal areas of pulmonary consolidation,1.0,,,,,,0.0,,,,,,,
 The lungs are hyperexpanded with flattening of the bilateral hemidiaphragms,1.0,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Severe degenerative changes of the thoracic spine,,,,,,,,,,,,,,
"Cardiac size, mediastinal contour, and pulmonary vascularity are within normal limits",1.0,0.0,0.0,,,,,,,,,,,
" No focal consolidation, suspicious pulmonary opacity, pleural effusion, or pneumothorax",1.0,,,,0.0,,0.0,,,0.0,0.0,,,
 The visualized osseous structures appear intact,1.0,,,,,,,,,,,,,
Cardiomediastinal silhouette and pulmonary vasculature are stable and within normal limits,,-1.0,,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 No acute osseous findings,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 No pleural effusion is seen,1.0,,,,,,,,,,0.0,,,
 The heart is normal,1.0,,0.0,,,,,,,,,,,
 Calcified right hilar and infracarinal lymph XXXX are seen,,,,,,,,,,,,,,
 The skeletal structures are normal,1.0,,,,,,,,,,,,,
Overall low lung volumes with mild patchy bibasilar airspace disease,,,,,1.0,,,,,,,,,
 This most XXXX represents atelectasis given the low lung volumes,,,,,,,,,1.0,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Heart and mediastinum of normal size and contour,,1.0,,,,,,,,,,,,
Right costophrenic XXXX is blunted,,,,,,,,,,,,,,
 In the left lower lobe a patchy infiltrate is present,,,,,1.0,,,,,,,,,
 The pulmonary XXXX are normal,1.0,,,,,,,,,,,,,
Right costophrenic XXXX is blunted,,,,,,,,,,,,,,
 In the left lower lobe a patchy infiltrate is present,,,,,1.0,,,,,,,,,
 The pulmonary XXXX are normal,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 Heart and pulmonary XXXX appear normal,1.0,,,,,,,,,,,,,
 The pleural spaces are clear and mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
 Nodular density overlying the anterior left 4th rib XXXX represents a healing rib fracture,,,,1.0,,,,,,,,,1.0,
The lungs are clear,1.0,,,,,,,,,,,,,
 Heart and pulmonary XXXX appear normal,1.0,,,,,,,,,,,,,
 The pleural spaces are clear and mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
 Nodular density overlying the anterior left 4th rib XXXX represents a healing rib fracture,,,,1.0,,,,,,,,,1.0,
"Heart size, mediastinal contour, and pulmonary vascularity are within normal limits",1.0,0.0,0.0,,,,,,,,,,,
" No focal consolidation, suspicious pulmonary opacity, large pleural effusion, or pneumothorax is identified",1.0,,,,0.0,,0.0,,,0.0,0.0,,,
 Visualized osseous structures appear intact,1.0,,,,,,,,,,,,,
The heart and lungs have XXXX XXXX in the interval,,,1.0,,,,,,,,,,,
 Both lungs are clear and expanded,1.0,,,,,,,,,,,,,
 Heart and mediastinum normal,1.0,0.0,,,,,,,,,,,,
Stable cardiomediastinal silhouette with mild cardiomegaly and aortic ectasia and tortuosity,,-1.0,1.0,,,,,,,,,,,
" No alveolar consolidation, no findings of pleural effusion",1.0,,,,,,0.0,,,,0.0,,,
 Chronic appearing bilateral rib contour deformities compatible with old fractures,,1.0,,,,,,,,,,,1.0,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
There is a right IJ central venous catheter with tip overlying the inferior SVC,1.0,,,,,,,,,,,,,1.0
